tier,title,hub,section,evidence
"canon","MOVERS","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","Obelisk Tinker Quick Notes","The Vault","Non Essential / Example Gens/Premades","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); under fan heading: Non Essential › Example Gens/Premades"
"canon","Organization: Fallen","Welcome Doc","Other Resources / Misc. / Organization: Fallen 🐗","🐗-marked in index"
"canon","Organization: Youth Guard","Welcome Doc","Other Resources / Misc. / Organization: Youth Guard 🐗","🐗-marked in index"
"canon","Play Guide","Welcome Doc","Main Resources","cited as resource by canon: Organization: Fallen, Organization: Youth Guard; listed on Fandom wiki"
"canon","Playtest Capes","The Vault","Non Essential / Example Gens/Premades","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); under fan heading: Non Essential › Example Gens/Premades; listed on Fandom wiki"
"canon","PRT Quest Document","Fandom wiki","","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); listed on Fandom wiki"
"canon","Reputation and Territory","Welcome Doc","Other Resources / GM Section / Reputation and Territory","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","Skills","Welcome Doc","Main Resources","cited as resource by canon: WD Rulebook: Character Creation; listed on Fandom wiki"
"canon","STRANGERS","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","STRIKERS","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","Tinker Example Trigger: Ingrid","The Vault","Non Essential / Example Gens/Premades","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); under fan heading: Non Essential › Example Gens/Premades"
"canon","Tinker Specialites","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","TINKERS","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","TRUMP","Welcome Doc","Main Resources","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","Warden Tinker","The Vault","Non Essential / Example Gens/Premades","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); under fan heading: Non Essential › Example Gens/Premades"
"canon","WD Rulebook: Character Creation","The Vault","Official","Vault “Official” section; cited as resource by canon: Wounds & Wound Effects; listed on Fandom wiki"
"canon","WD Rulebook: Play Guide: Downtime","The Vault","Non Essential","owned by wildbowpig@gmail.com (Wildbow — verified via Drive)"
"canon","WD: Research Concept","The Vault","Official","Vault “Official” section"
"canon","Weaver Dice: Rulebook (Old Version)","The Vault","Fan-Made","owned by wildbowpig@gmail.com (Wildbow — verified via Drive); under fan heading: Fan-Made; listed on Fandom wiki"
"canon","WIP Module Skills","The Vault","Official","Vault “Official” section; listed on Fandom wiki"
"canon","Wounds & Wound Effects","Welcome Doc","Main Resources","Vault “Official” section; listed on Fandom wiki"
"semicanon","WD Helena","Fandom wiki","Weaverdice / References[]","WB-run campaign"
"semicanon","WD Lausanne","Fandom wiki","Weaverdice / References[]","WB-run campaign"
"semicanon","WD Lincoln","Fandom wiki","Weaverdice / References[]","WB-run campaign"
"semicanon","WD Oakland","Fandom wiki","Weaverdice / References[]","WB-run campaign"
"semicanon","WD Wichita - Game Master","The Vault","Non Essential","WB-run campaign"
"fanmade","""Have some vials you shit fuck""","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","100 Faction Seeds","Welcome Doc","Other Resources / GM Section / 100 Faction Seeds","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","3.0 Equipment","Welcome Doc","Fan-Made Essentials / 3.0 Equipment","under fan heading: Fan-Made Essentials › 3.0 Equipment"
"fanmade","3.0 NPC Creator","Welcome Doc","Fan-Made Essentials / 3.0 NPC Creator","under fan heading: Fan-Made Essentials › 3.0 NPC Creator"
"fanmade","3.0 Skills","Welcome Doc","Fan-Made Essentials / 3.0 Skills","under fan heading: Fan-Made Essentials › 3.0 Skills"
"fanmade","A-Class Handbook","Welcome Doc","Other Resources / Power Generation / A-Class Handbook","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","A-PACKAGE GUIDEBOOK","Welcome Doc","Other Resources / Power Generation / A-PACKAGE GUIDEBOOK","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Age of Gods","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","All Trumped Up - A Quick-And-Dirty Guide to Trumps","Welcome Doc","Other Resources / Power Generation / All Trumped Up","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Arcane Essence","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Armor Icon","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Assorted Tinker Tables","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon)"
"fanmade","Augment Gear 💪","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Blank PHO Thread Fancy","Welcome Doc","Other Resources / GM Section / Campaign Template","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Bow's Archtypes","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Breaker Action System","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","BRUTE","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Campaign Checklist","Welcome Doc","Other Resources / GM Section / Campaign Checklist","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Campaign Main Page Template","Welcome Doc","Other Resources / GM Section / Campaign Template","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Campaign Template","Welcome Doc","Other Resources / GM Section / Campaign Template","community (not in verified WB-owned set)"
"fanmade","Capes in the Dark system welcome doc","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","Capes In The Dark: Engagement Rolls","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","CaptNameless’s WD Rule Options","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","CASE 53 ALT DOC","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Case 53 Power Generation Guide","Welcome Doc","Fan-Made Essentials / Case 53 generation","under fan heading: Fan-Made Essentials › Case 53 generation"
"fanmade","Cauldron Application Template","Welcome Doc","Other Resources / Power Generation / Cauldron Application Template","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","CHANGER 1.0","Welcome Doc","Main Resources","community (not in verified WB-owned set)"
"fanmade","Changer 1.0 Advice Doc","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Changer Stuff","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","CHANGERS 2.0","Welcome Doc","Main Resources","community (not in verified WB-owned set)"
"fanmade","Character Sheet","Welcome Doc","Main Resources","listed on Fandom wiki"
"fanmade","Character Sheet MK. 2.5","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Character Sheet WD 3.0","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Classic Document","Welcome Doc","Fan-Made Essentials","under fan heading: Fan-Made Essentials"
"fanmade","Cluster Template","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Cold Worm Guidebook","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Conflict Drive","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Crafting Reference chart","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Detailed Boulder NPC's","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Downtime 3.0","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Draft Part 2","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Draft Tinker Templates","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Driving Rules","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Effects & Wounds (Compact)","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Elements (fan version)","Welcome Doc","Other Resources / Power Generation / Elements (fan version)","under fan heading: Power Generation › Elements (fan version)"
"fanmade","Essentials Compendium","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Explosives Skill","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Fan Territory Rules","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","FANMADE MASTER’S HANDBOOK","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon); community author / alt-system"
"fanmade","Finesse overview","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Grab Bag/Cluster Guidebook","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Grab-Bag Guidebook","Welcome Doc","Fan-Made Essentials / Grab-Bag Guidebook","under fan heading: Fan-Made Essentials › Grab-Bag Guidebook"
"fanmade","Guide to Craft","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","have an Auxiliary Vial List you shit fuck","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Hodgepodge Effects","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","How to Get Smiley on Your Server","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","How to Powergen (V2)","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","How to Powergen the Fun Way (WIP)","Welcome Doc","Other Resources / Power Generation / How to Powergen the Fun Way","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","How to write a trump trigger?","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","How To: Misery Bingo","Welcome Doc","Other Resources / Misc. / Misery Bingo","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","In Depth Pregen Powers","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","KWYL - FANCY JOHNNY TEMPLATE","Welcome Doc","Other Resources / GM Section / Campaign Template","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","KWYL - TEMPLATE","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","LA Weapons List (Unfinished)","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Level Up Gaming Systems","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","Light Pregens","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Log of conversation about new tinkers","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Luck","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Luck (readable)","Welcome Doc","Other Resources / Misc. / Luck (readable)","community (not in verified WB-owned set)"
"fanmade","Luck Readable","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","LUGS Tinker Outfittings","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","marsmissionguy’s Weaverdice Classifications and Types Compilation","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","Master Aug (GH)","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","MASTERS","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon)"
"fanmade","MOVER","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon)"
"fanmade","Mover rework ideas","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","New Character Sheet","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","New Character Sheet Revision Totally Blank 0.0","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","NPC Bestiary","Welcome Doc","Other Resources / GM Section / NPC Bestiary","community (not in verified WB-owned set)"
"fanmade","NPC Template","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Old Version of ELEMENTS","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Organization template","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Organization: The Italian Mafia","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Parahumans Campaign List","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Parahumans Online","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Player Etiquette","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Power Generation Guide v2.1","Welcome Doc","Fan-Made Essentials / Power Generation Guide","under fan heading: Fan-Made Essentials › Power Generation Guide"
"fanmade","Powergen Tutorial Tutorial/Powergen Tutorial","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Prim's Skill Dart Board","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","Prosthetic Tinker Tables","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Public Campaign Logs Archives","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Queue Game Copypasta","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Queue Games","Welcome Doc","Other Resources / Misc. / Queue Games How to play in and run games that take place in the queue for actual Weaverdice","community (not in verified WB-owned set)"
"fanmade","Rivenland ⚔️ Power Mechanics","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Rollable Wound Charts","Welcome Doc","Other Resources / GM Section / Wound Charts","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Running an Endbringer Fight","Welcome Doc","Other Resources / Misc. / Endbringer Guidebook","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Sample Multitrigger","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","SHAKERS","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","SHAKERS 1.2","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon)"
"fanmade","Skill Revision","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Skill Thinker Inspiration","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","So you want to be a motherfuckin' GM","Welcome Doc","Other Resources / GM Section / So you want to be a motherfuckin' GM","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Specialty Tables","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon)"
"fanmade","Status Effects","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Status Effects","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","STRANGERS Guidebook","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","STRIKERS","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon)"
"fanmade","Tag´s Ideas for Breaker Categories","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","The Conglomerate","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","The Power Vault","Welcome Doc","Other Resources / Misc. / The Power Vault","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","The Suits: Notes","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","THINKERS 1.0","Welcome Doc","Main Resources","community (not in verified WB-owned set)"
"fanmade","THINKERS 2.0","Welcome Doc","Main Resources","community (not in verified WB-owned set)"
"fanmade","Tinker Specialties 2.0","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Tinker Table Template","Welcome Doc","Fan-Made Essentials / Tinker Table Template","under fan heading: Fan-Made Essentials › Tinker Table Template"
"fanmade","Tinker Tables - Master","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","TINKERS 2.0","Welcome Doc","Main Resources","community (not in verified WB-owned set)"
"fanmade","Trigger Writing Guide","Welcome Doc","Fan-Made Essentials / Power Generation Guide","under fan heading: Fan-Made Essentials › Power Generation Guide"
"fanmade","TRUMP","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon)"
"fanmade","Trump Rework","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon)"
"fanmade","Unis' Vehicle Guidebook","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","Vaegrim’s Blaster Charts","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","Vaegrim’s Brute Charts","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon); community author / alt-system"
"fanmade","Vaegrim’s Changer Charts","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon); community author / alt-system"
"fanmade","Vaegrim's Elements","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","Vaegrim's Revised: Items and Equipment","Welcome Doc","Fan-Made Essentials / Vaegrim's Equipment","under fan heading: Fan-Made Essentials › Vaegrim's Equipment; community author / alt-system"
"fanmade","Vaegrim's Thinker Charts","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon); community author / alt-system"
"fanmade","Vaegrim's Thinker Charts 2","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","Vaegrim's Tinker Armory","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon); community author / alt-system"
"fanmade","Vaegrim's Tinker Charts","Welcome Doc","Fan-Made Essentials / Classification Docs (Fanon)","under fan heading: Fan-Made Essentials › Classification Docs (Fanon); community author / alt-system"
"fanmade","WD 3.0 Cheat Sheet","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","WD 3.0 Intel Simplification","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","WD Billings","Welcome Doc","Other Resources / Example Game Docs","under fan heading: Other Resources › Example Game Docs"
"fanmade","WD Boulder: A City Module","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","WD drag'n'drop NPCS","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","WD GM Expansion: Guns","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","WD Minneapolis","Welcome Doc","Other Resources / Example Game Docs","under fan heading: Other Resources › Example Game Docs"
"fanmade","WD Power Cheat Sheet","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","WD stat proposal thing I came up with when I was bored at work and ...","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","WD Traverse City","Welcome Doc","Other Resources / Example Game Docs","under fan heading: Other Resources › Example Game Docs"
"fanmade","Weaverdice Cheat Sheet","Welcome Doc","Other Resources / GM Section / Cheat Sheet","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Weaverdice FAQ","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","WeaverDice Lite","Welcome Doc","Other Resources / Misc. / WeaverDice Lite","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","Weaverdice PC Example: Cat 5","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Weaverdice to-do","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Welcome to #WeaverDice 2020","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Worm Power Docs & Resources","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Worm Rpg","The Vault","Fan-Made","under fan heading: Fan-Made"
"fanmade","Worm Shops","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Worm SPRG Concept","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades; community author / alt-system"
"fanmade","Worm World Synopsis","Welcome Doc","Other Resources / GM Section / Worm World Synopsis","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Worm: Treasure Island","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"fanmade","Writing Triggers","The Vault","Non Essential / Example Gens/Premades","under fan heading: Non Essential › Example Gens/Premades"
"excluded","Guide for Newcomers (aimed at WD 2.0?)","Welcome Doc","Other Resources / Misc. / Getting Started With Weaver Dice A guide on the basic steps on getting started playing Weaverdice once you’re in a game","excluded (alt-system / index)"
"excluded","List of former or current WD Campaigns","Fandom wiki","Weaverdice / Relevant Links[]","excluded (alt-system / index)"
"excluded","Skitterdice","Fandom wiki","Weaverdice / Versions[] / Variations[]","excluded (alt-system / index)"
"excluded","Weaverdice d20","The Vault","Non Essential / Example Gens/Premades","excluded (alt-system / index)"
"excluded","WeaverFate Ruleset","The Vault","Non Essential / Example Gens/Premades","excluded (alt-system / index)"
